nohup: ignoring input
/home/chenjx/Code/test01
 Epoch:1 -> lossA : 0.1307779997587204 , time_cost = 1.58s
 Epoch:2 -> lossA : 0.10929406434297562 , time_cost = 1.23s
 Epoch:3 -> lossA : 0.10777189582586288 , time_cost = 1.10s
 Epoch:4 -> lossA : 0.10423995554447174 , time_cost = 1.16s
 Epoch:5 -> lossA : 0.08276332542300224 , time_cost = 1.46s
 Epoch:6 -> lossA : 0.08160759881138802 , time_cost = 1.17s
 Epoch:7 -> lossA : 0.08567162975668907 , time_cost = 1.11s
 Epoch:8 -> lossA : 0.0733608789741993 , time_cost = 1.22s
 Epoch:9 -> lossA : 0.07152783125638962 , time_cost = 1.21s
 Epoch:10 -> lossA : 0.06925514340400696 , time_cost = 1.12s
 Epoch:11 -> lossA : 0.06154061295092106 , time_cost = 1.14s
 Epoch:12 -> lossA : 0.05863481014966965 , time_cost = 1.15s
 Epoch:13 -> lossA : 0.05696195363998413 , time_cost = 1.12s
 Epoch:14 -> lossA : 0.05633433349430561 , time_cost = 1.14s
 Epoch:15 -> lossA : 0.05277734994888306 , time_cost = 1.11s
 Epoch:16 -> lossA : 0.05272504314780235 , time_cost = 1.20s
 Epoch:17 -> lossA : 0.053593311458826065 , time_cost = 1.18s
 Epoch:18 -> lossA : 0.06343074887990952 , time_cost = 1.10s
 Epoch:19 -> lossA : 0.06034635193645954 , time_cost = 1.17s
 Epoch:20 -> lossA : 0.056766077876091 , time_cost = 1.14s
 Epoch:21 -> lossA : 0.05046164244413376 , time_cost = 1.21s
 Epoch:22 -> lossA : 0.05028388276696205 , time_cost = 1.16s
 Epoch:23 -> lossA : 0.05117390863597393 , time_cost = 1.26s
 Epoch:24 -> lossA : 0.053206970915198326 , time_cost = 1.18s
 Epoch:25 -> lossA : 0.05629235692322254 , time_cost = 1.21s
 Epoch:26 -> lossA : 0.058583902195096016 , time_cost = 1.47s
 Epoch:27 -> lossA : 0.04675566032528877 , time_cost = 1.17s
 Epoch:28 -> lossA : 0.04836347699165344 , time_cost = 1.24s
 Epoch:29 -> lossA : 0.04745079576969147 , time_cost = 1.22s
 Epoch:30 -> lossA : 0.05399719998240471 , time_cost = 1.11s
 Epoch:31 -> lossA : 0.048396555706858635 , time_cost = 1.25s
 Epoch:32 -> lossA : 0.05786791257560253 , time_cost = 1.17s
 Epoch:33 -> lossA : 0.04650953412055969 , time_cost = 1.17s
 Epoch:34 -> lossA : 0.06091608479619026 , time_cost = 1.12s
 Epoch:35 -> lossA : 0.053020890802145004 , time_cost = 1.11s
 Epoch:36 -> lossA : 0.059706877917051315 , time_cost = 1.13s
 Epoch:37 -> lossA : 0.04844414070248604 , time_cost = 1.17s
 Epoch:38 -> lossA : 0.041995128616690636 , time_cost = 1.11s
 Epoch:39 -> lossA : 0.04190370440483093 , time_cost = 1.15s
 Epoch:40 -> lossA : 0.06627588532865047 , time_cost = 1.13s
 Epoch:41 -> lossA : 0.048229752108454704 , time_cost = 1.19s
 Epoch:42 -> lossA : 0.045095501467585564 , time_cost = 1.08s
 Epoch:43 -> lossA : 0.044623153284192085 , time_cost = 1.15s
 Epoch:44 -> lossA : 0.049903592094779015 , time_cost = 1.26s
 Epoch:45 -> lossA : 0.04862680658698082 , time_cost = 1.13s
 Epoch:46 -> lossA : 0.04801412671804428 , time_cost = 1.12s
 Epoch:47 -> lossA : 0.07848458737134933 , time_cost = 1.19s
